scientific_name;genus;species-tobesplit;country_id;locality;ddlat;ddlong;recorded_by;colnum;col_day;col_month;col_year;det_by;det_date;institute;herbarium_code;barcode;specificEpithet;species_author;collector_id;prefix;sufix;col_date;det_day;det_month;det_year;country;continent;coordinate_id;prel_bc;prel_bc2;prel_herbCode;prel_code;prel_code_X;tmp_hc;st_barcode
Phaeanthus ophthalmicus (Roxb. ex G.Don) J.Sinclair;Phaeanthus;Phaeanthus ophthalmicus;ID;Riau;-0.55;102.41;;;24;3;1996;P. Akhriadi;2003-10-22T00:00:00;;;;0;0;0;0;0;0;22;10;2003;0;0;0;;;;<NA>;;;
Fissistigma Griff.;Fissistigma;;ID;Riau;-0.55;102.41;;;26;10;1995;P. Akhriadi;2003-10-29T00:00:00;;;;0;0;0;0;0;0;29;10;2003;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;Riau;0.036543;102.204658;;;29;4;1999;Rezi;2019-06-28T00:00:00;;;;0;0;0;0;0;0;28;06;2019;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.9599;100.4521;;;24;5;2008;Rezi;2019-06-28T00:00:00;;;;0;0;0;0;0;0;28;06;2019;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.63;100.28;;;26;11;1994;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Fissistigma Griff.;Fissistigma;;ID;West Sumatra;-0.9057;100.6271;;;11;4;1998;P. Akhriadi;2003-10-29T00:00:00;;;;0;0;0;0;0;0;29;10;2003;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.6876;100.9536;;;21;4;2000;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Fissistigma Griff.;Fissistigma;;ID;West Sumatra;-0.1282;100.6967;;;18;12;2004;Rezi;2019-06-28T00:00:00;;;;0;0;0;0;0;0;28;06;2019;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;Riau;-0.55;102.41;;;25;3;1996;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.606658;100.363986;;;26;5;1995;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Goniothalamus tapis Miq.;Goniothalamus;Goniothalamus tapis;ID;West Sumatra;-1.181696;98.935895;;;4;3;1999;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Goniothalamus giganteus Wall. ex Hook.f. & Thomson;Goniothalamus;Goniothalamus giganteus;ID;West Sumatra;-0.63;100.28;;;9;11;1991;P. Akhriadi;2003-09-30T00:00:00;;;;0;0;0;0;0;0;30;09;2003;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.63;100.28;;;7;11;1998;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.63;100.28;;;7;11;1998;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Polyalthia motleyana (Hook.f.) Airy Shaw;Polyalthia;Polyalthia motleyana;ID;West Sumatra;-0.606658;100.363986;;;6;4;1997;P. Akhriadi;2002-06-01T00:00:00;;;;0;0;0;0;0;0;01;06;2002;0;0;0;;;;<NA>;;;
Phaeanthus ophthalmicus (Roxb. ex G.Don) J.Sinclair;Phaeanthus;Phaeanthus ophthalmicus;ID;West Sumatra;-0.1282;100.6967;;;30;11;2007;Kelompok III;2007-01-03T00:00:00;;;;0;0;0;0;0;0;03;01;2007;0;0;0;;;;<NA>;;;
Goniothalamus tapis Miq.;Goniothalamus;Goniothalamus tapis;ID;West Sumatra;-0.8895;100.5206;;;6;7;2002;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Annonaceae;;;ID;West Sumatra;-0.41;100.73;;;5;5;1990;Rezi;2019-06-28T00:00:00;;;;0;0;0;0;0;0;28;06;2019;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.9599;100.4521;;;17;12;2004;Rezi;2019-06-28T00:00:00;;;;0;0;0;0;0;0;28;06;2019;0;0;0;;;;<NA>;;;
Fissistigma Griff.;Fissistigma;;ID;Jambi;-1.73;101.33;;;1;8;2003;P. Akhriadi;2004-03-01T00:00:00;;;;0;0;0;0;0;0;01;03;2004;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.41;100.73;;;4;5;1990;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Fissistigma Griff.;Fissistigma;;ID;West Sumatra;-0.1282;100.6967;;;30;11;2007;Rezi;2019-06-28T00:00:00;;;;0;0;0;0;0;0;28;06;2019;0;0;0;;;;<NA>;;;
Goniothalamus giganteus Wall. ex Hook.f. & Thomson;Goniothalamus;Goniothalamus giganteus;ID;Riau;-0.55;102.41;;;26;10;1995;P. Akhriadi;2003-09-30T00:00:00;;;;0;0;0;0;0;0;30;09;2003;0;0;0;;;;<NA>;;;
Fissistigma Griff.;Fissistigma;;ID;West Sumatra;-0.9599;100.4521;;;30;3;1997;P. Akhriadi;2019-06-28T00:00:00;;;;0;0;0;0;0;0;28;06;2019;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.88;100.35;;;30;4;2000;P. Akhriadi;2004-05-26T00:00:00;;;;0;0;0;0;0;0;26;05;2004;0;0;0;;;;<NA>;;;
Fissistigma Griff.;Fissistigma;;ID;West Sumatra;-0.1282;100.6967;;;30;10;1999;P. Akhriadi;2003-09-25T00:00:00;;;;0;0;0;0;0;0;25;09;2003;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.8895;100.5206;;;20;11;1983;P. Akhriadi;2003-09-30T00:00:00;;;;0;0;0;0;0;0;30;09;2003;0;0;0;;;;<NA>;;;
Goniothalamus giganteus Wall. ex Hook.f. & Thomson;Goniothalamus;Goniothalamus giganteus;ID;Riau;-0.55;102.41;;;27;10;1995;P. Akhriadi;2003-09-01T00:00:00;;;;0;0;0;0;0;0;01;09;2003;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.8895;100.5206;;;31;8;1989;P. Akhriadi;2003-09-30T00:00:00;;;;0;0;0;0;0;0;30;09;2003;0;0;0;;;;<NA>;;;
Goniothalamus giganteus Wall. ex Hook.f. & Thomson;Goniothalamus;Goniothalamus giganteus;ID;West Sumatra;-0.63;100.28;;;13;5;2006;Dian;2006-06-07T00:00:00;;;;0;0;0;0;0;0;07;06;2006;0;0;0;;;;<NA>;;;
Goniothalamus malayanus Hook.f. & Thomson;Goniothalamus;Goniothalamus malayanus;ID;West Sumatra;-1.03;100.4;;;24;3;2001;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Goniothalamus malayanus Hook.f. & Thomson;Goniothalamus;Goniothalamus malayanus;ID;West Sumatra;0.001566;100.220186;;;10;9;1988;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Goniothalamus tapis Miq.;Goniothalamus;Goniothalamus tapis;ID;West Sumatra;-0.8895;100.5206;;;5;5;1996;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Fissistigma Griff.;Fissistigma;;ID;Riau;0.8721;101.482;;;16;3;2004;Rezi;2019-06-28T00:00:00;;;;0;0;0;0;0;0;28;06;2019;0;0;0;;;;<NA>;;;
Phaeanthus ophthalmicus (Roxb. ex G.Don) J.Sinclair;Phaeanthus;Phaeanthus ophthalmicus;ID;West Sumatra;-0.63;100.28;;;26;11;1994;P. Akhriadi;2003-10-22T00:00:00;;;;0;0;0;0;0;0;22;10;2003;0;0;0;;;;<NA>;;;
Goniothalamus giganteus Wall. ex Hook.f. & Thomson;Goniothalamus;Goniothalamus giganteus;ID;West Sumatra;-0.63;100.28;;;28;3;1987;P. Akhriadi;2003-09-30T00:00:00;;;;0;0;0;0;0;0;30;09;2003;0;0;0;;;;<NA>;;;
Annonaceae;;;ID;Jambi;-2.13;101.45;;;19;3;1999;;;;;;0;0;0;0;0;0;;;;0;0;0;;;;<NA>;;;
Polyalthia cauliflora Hook.f. & Thomson;Polyalthia;Polyalthia cauliflora;ID;West Sumatra;-0.63;100.28;;;18;5;2002;P. Akhriadi;2002-09-01T00:00:00;;;;0;0;0;0;0;0;01;09;2002;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.9599;100.4521;;;29;10;1989;P. Akhriadi;2003-09-30T00:00:00;;;;0;0;0;0;0;0;30;09;2003;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.63;100.28;;;28;3;1987;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Fissistigma Griff.;Fissistigma;;ID;West Sumatra;-0.1282;100.6967;;;27;4;2002;P. Akhriadi;2003-09-25T00:00:00;;;;0;0;0;0;0;0;25;09;2003;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;Jambi;-1.14;102.14;;;14;3;1996;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
Goniothalamus macrophyllus (Blume) Hook.f. & Thomson;Goniothalamus;Goniothalamus macrophyllus;ID;West Sumatra;-0.41;100.73;;;10;11;1990;P. Akhriadi;2003-10-01T00:00:00;;;;0;0;0;0;0;0;01;10;2003;0;0;0;;;;<NA>;;;
